State Vector Calculation


Calculation Inputs

Calculation type     = State Vector
Target type          = Object
Target               = sun
Observer type        = Object
Observer             = earth
Reference frame      = ITRF93
Light propagation    = No correction
Time system          = UTC
Time format          = Calendar date and time
Time range           = Jan 1 2016 00:00:00 to Dec 31 2017 00:00:00
Step                 = 1 hours
State representation = Rectangular


State Vector Results

UTC calendar date               Distance (km)       Speed (km/s)    X (km)               Y (km)               Z (km)              dX/dt (km/s)     dY/dt (km/s)     dZ/dt (km/s)  Time at Target                  Light Time (s)
2016-01-01 11:00:00.000000 UTC  147101017.98816050   9842.18854289   130250707.95088258    36927829.36468725  -57530843.81320644    2685.46191468   -9468.73618117    2.17943503  2016-01-01 11:00:00.000000 UTC    490.67617968
2016-01-01 12:00:00.000000 UTC  147100971.11845980   9842.43041249   135373268.42302373     1969873.79759850  -57522982.34343772     144.12188416   -9841.37493031    2.18818747  2016-01-01 12:00:00.000000 UTC    490.67602334
2016-01-01 13:00:00.000000 UTC  147100925.61813860   9842.67331785   131276428.69582649   -33123952.86307095  -57515087.87533737   -2407.15911867   -9543.78322203    2.19776143  2016-01-01 13:00:00.000000 UTC    490.67587157
2016-01-01 14:00:00.000000 UTC  147100881.48474580   9842.91725791   118238748.62310323   -65963584.56160718  -57507157.54943494   -4794.62653931   -8596.19518270    2.20809341  2016-01-01 14:00:00.000000 UTC    490.67572435
2016-01-01 15:00:00.000000 UTC  147100838.71582990   9843.16223196    97147718.21456353   -94312358.04799199  -57499188.82933678   -6855.67360331   -7063.11384910    2.21906846  2016-01-01 15:00:00.000000 UTC    490.67558169
2016-01-01 16:00:00.000000 UTC  147100797.30893920   9843.40823975    69439345.87048177  -116239348.21612420  -57491179.67389288   -8449.91615886   -5048.92044968    2.23052792  2016-01-01 16:00:00.000000 UTC    490.67544357
2016-01-01 17:00:00.000000 UTC  147100757.26162133   9843.65528051    37000386.89440753  -130250888.95737797  -57483128.67632892   -9468.75462208   -2690.76757832    2.24228003  2016-01-01 17:00:00.000000 UTC    490.67530999
2016-01-01 18:00:00.000000 UTC  147100718.57142383   9843.90335309     2039869.05238459  -135392321.31769946  -57475035.16034746   -9842.77174011    -149.24012865    2.25411307  2016-01-01 18:00:00.000000 UTC    490.67518093
2016-01-01 19:00:00.000000 UTC  147100681.23589380   9844.15245672   -33061336.70670585  -131313037.92300558  -57466899.22608631   -9546.46224181    2402.58009709    2.26580986  2016-01-01 19:00:00.000000 UTC    490.67505639
2016-01-01 20:00:00.000000 UTC  147100645.25257817   9844.40259092   -65912656.59357869  -118290391.96023070  -57458721.74349870   -8599.97212587    4790.90144137    2.27716231  2016-01-01 20:00:00.000000 UTC    490.67493637
