Frame Transformation Calculation


Calculation Inputs

Calculation type       = Frame Transformation (from Frame 1 to Frame 2)
Frame 1                = j2000
Frame 2                = ITRF93
Time system            = UTC
Time format            = Calendar date and time
Time range             = dec 31 2020 23:59:59 to dec 31 2025 23:59:59
Step                   = 1 hours
Light propagation      = No correction
Orientation form       = Euler angles
Rotation order         = R = [Angle3]z * [Angle2]x * [Angle1]z
Angular units          = Degrees
Angular velocity form  = Not included
Angular velocity units = Degrees/second


Frame Transformation Results

UTC calendar date               Angle 3 (deg)  Angle 2 (deg)  Angle 1 (deg)
2021-01-03 16:59:59.000000 UTC   -91.84210532     0.11516243    90.10623990
2021-01-03 17:59:59.000000 UTC   -76.79813778     0.11514149    90.10333956
2021-01-03 18:59:59.000000 UTC   -61.75150391     0.11512295    90.09777287
2021-01-03 19:59:59.000000 UTC   -46.70260578     0.11510813    90.08994191
2021-01-03 20:59:59.000000 UTC   -31.65200093     0.11509807    90.08040423
2021-01-03 21:59:59.000000 UTC   -16.60036422     0.11509352    90.06983470
2021-01-03 22:59:59.000000 UTC    -1.54844150     0.11509480    90.05897914
2021-01-03 23:59:59.000000 UTC    13.50300184     0.11510187    90.04860297
2021-01-04 00:59:59.000000 UTC    28.55323361     0.11511428    90.03943837
2021-01-04 01:59:59.000000 UTC    43.60160519     0.11513121    90.03213395
2021-01-04 02:59:59.000000 UTC    58.64759616     0.11515154    90.02721015
2021-01-04 03:59:59.000000 UTC    73.69084979     0.11517391    90.02502370
2021-01-04 04:59:59.000000 UTC    88.73119727     0.11519683    90.02574340
2021-01-04 05:59:59.000000 UTC   103.76866886     0.11521875    90.02933899
2021-01-04 06:59:59.000000 UTC   118.80349140     0.11523821    90.03558364
2021-01-04 07:59:59.000000 UTC   133.83607249     0.11525391    90.04406974
2021-01-04 08:59:59.000000 UTC   148.86697248     0.11526481    90.05423694
2021-01-04 09:59:59.000000 UTC   163.89686620     0.11527020    90.06541042
2021-01-04 10:59:59.000000 UTC   178.92649711     0.11526973    90.07684670
2021-01-04 11:59:59.000000 UTC  -166.04337306     0.11526347    90.08778405
2021-01-04 12:59:59.000000 UTC  -151.01201599     0.11525186    90.09749417
2021-01-04 13:59:59.000000 UTC  -135.97878617     0.11523574    90.10533153
2021-01-04 14:59:59.000000 UTC  -120.94316485     0.11521622    90.11077739
2021-01-04 15:59:59.000000 UTC  -105.90479554     0.11519467    90.11347525
2021-01-04 16:59:59.000000 UTC   -90.86350871     0.11517259    90.11325558
2021-01-04 17:59:59.000000 UTC   -75.81933375     0.11515150    90.11014777
2021-01-04 18:59:59.000000 UTC   -60.77249748     0.11513289    90.10437865
2021-01-04 19:59:59.000000 UTC   -45.72340904     0.11511806    90.09635735
2021-01-04 20:59:59.000000 UTC   -30.67263214     0.11510803    90.08664759
2021-01-04 21:59:59.000000 UTC   -15.62084649     0.11510354    90.07592908
2021-01-04 22:59:59.000000 UTC    -0.56880113     0.11510490    90.06495084
2021-01-04 23:59:59.000000 UTC    14.48273728     0.11511206    90.05447957
2021-01-05 00:59:59.000000 UTC    29.53303764     0.11512455    90.04524634
2021-01-05 01:59:59.000000 UTC    44.58145338     0.11514154    90.03789774
2021-01-05 02:59:59.000000 UTC    59.62746835     0.11516189    90.03294991
2021-01-05 03:59:59.000000 UTC    74.67073172     0.11518424    90.03075367
2021-01-05 04:59:59.000000 UTC    89.71108174     0.11520707    90.03147080
2021-01-05 05:59:59.000000 UTC   104.74855641     0.11522885    90.03506329
2021-01-05 06:59:59.000000 UTC   119.78339052     0.11524812    90.04129634
2021-01-05 07:59:59.000000 UTC   134.81599925     0.11526357    90.04975477
2021-01-05 08:59:59.000000 UTC   149.84694966     0.11527419    90.05987153
2021-01-05 09:59:59.000000 UTC   164.87692195     0.11527926    90.07096640
2021-01-05 10:59:59.000000 UTC   179.90666325     0.11527846    90.08229226
2021-01-05 11:59:59.000000 UTC  -165.06306308     0.11527187    90.09308575
2021-01-05 12:59:59.000000 UTC  -150.03152926     0.11525995    90.10261909
2021-01-05 13:59:59.000000 UTC  -134.99809246     0.11524355    90.11024945
2021-01-05 14:59:59.000000 UTC  -119.96223869     0.11522381    90.11546283
2021-01-05 15:59:59.000000 UTC  -104.92361801     0.11520210    90.11790929
2021-01-05 16:59:59.000000 UTC   -89.88206876     0.11517992    90.11742717
2021-01-05 17:59:59.000000 UTC   -74.83762910     0.11515882    90.11405464
2021-01-05 18:59:59.000000 UTC   -59.79053489     0.11514026    90.10802756
2021-01-05 19:59:59.000000 UTC   -44.74120398     0.11512555    90.09976377
2021-01-05 20:59:59.000000 UTC   -29.69020779     0.11511570    90.08983469
2021-01-05 21:59:59.000000 UTC   -14.63823225     0.11511143    90.07892626
2021-01-05 22:59:59.000000 UTC     0.41396940     0.11511304    90.06779172
2021-01-05 23:59:59.000000 UTC    15.46562858     0.11512046    90.05719966
2021-01-06 00:59:59.000000 UTC    30.51601442     0.11513319    90.04788094
2021-01-06 01:59:59.000000 UTC    45.56448391     0.11515040    90.04047857
2021-01-06 02:59:59.000000 UTC    60.61052647     0.11517092    90.03550313
2021-01-06 03:59:59.000000 UTC    75.65379876     0.11519337    90.03329797
2021-01-06 04:59:59.000000 UTC    90.69414791     0.11521624    90.03401595
2021-01-06 05:59:59.000000 UTC   105.73162166     0.11523800    90.03760934
2021-01-06 06:59:59.000000 UTC   120.76646464     0.11525717    90.04383350
2021-01-06 07:59:59.000000 UTC   135.79910136     0.11527246    90.05226394
2021-01-06 08:59:59.000000 UTC   150.83010696     0.11528287    90.06232548
2021-01-06 09:59:59.000000 UTC   165.86016799     0.11528770    90.07333162
2021-01-06 10:59:59.000000 UTC  -179.10996437     0.11528664    90.08453113
2021-01-06 11:59:59.000000 UTC  -164.07952525     0.11527980    90.09515916
2021-01-06 12:59:59.000000 UTC  -149.04778804     0.11526766    90.10448910
2021-01-06 13:59:59.000000 UTC  -134.01411379     0.11525108    90.11188200
2021-01-06 14:59:59.000000 UTC  -118.97799479     0.11523122    90.11683014
2021-01-06 15:59:59.000000 UTC  -103.93908942     0.11520946    90.11899190
2021-01-06 16:59:59.000000 UTC   -88.89724587     0.11518733    90.11821549
2021-01-06 17:59:59.000000 UTC   -73.85251298     0.11516636    90.11454972
2021-01-06 18:59:59.000000 UTC   -58.80513738     0.11514802    90.10824124
2021-01-06 19:59:59.000000 UTC   -43.75554702     0.11513359    90.09971799
2021-01-06 20:59:59.000000 UTC   -28.70432206     0.11512410    90.08956015
2021-01-06 21:59:59.000000 UTC   -13.65215516     0.11512023    90.07846036
2021-01-06 22:59:59.000000 UTC     1.40019623     0.11512227    90.06717608
2021-01-06 23:59:59.000000 UTC    16.45196214     0.11513012    90.05647728
2021-01-07 00:59:59.000000 UTC    31.50241308     0.11514326    90.04709345
2021-01-07 01:59:59.000000 UTC    46.55091078     0.11516084    90.03966287
2021-01-07 02:59:59.000000 UTC    61.59695172     0.11518167    90.03468906
2021-01-07 03:59:59.000000 UTC    76.64020161     0.11520437    90.03250629
2021-01-07 04:59:59.000000 UTC    91.68051810     0.11522741    90.03325693
2021-01-07 05:59:59.000000 UTC   106.71796007     0.11524925    90.03688211
2021-01-07 06:59:59.000000 UTC   121.75278319     0.11526842    90.04312614
2021-01-07 07:59:59.000000 UTC   136.78542211     0.11528366    90.05155436
2021-01-07 08:59:59.000000 UTC   151.81646058     0.11529395    90.06158305
2021-01-07 09:59:59.000000 UTC   166.84659150     0.11529863    90.07251929
2021-01-07 10:59:59.000000 UTC  -178.12343017     0.11529741    90.08360812
2021-01-07 11:59:59.000000 UTC  -163.09283871     0.11529041    90.09408382
2021-01-07 12:59:59.000000 UTC  -148.06090963     0.11527815    90.10322190
2021-01-07 13:59:59.000000 UTC  -133.02700894     0.11526150    90.11038836
2021-01-07 14:59:59.000000 UTC  -117.99063641     0.11524165    90.11508297
2021-01-07 15:59:59.000000 UTC  -102.95145994     0.11521997    90.11697366
2021-01-07 16:59:59.000000 UTC   -87.90933864     0.11519802    90.11591950
2021-01-07 17:59:59.000000 UTC   -72.86433289     0.11517731    90.11198088
2021-01-07 18:59:59.000000 UTC   -57.81670072     0.11515933    90.10541585
2021-01-07 19:59:59.000000 UTC   -42.76688055     0.11514534    90.09666280
2021-01-07 20:59:59.000000 UTC   -27.71546132     0.11513635    90.08631070
2021-01-07 21:59:59.000000 UTC   -12.66314220     0.11513301    90.07505870
2021-01-07 22:59:59.000000 UTC     2.38931565     0.11513562    90.06366798
2021-01-07 23:59:59.000000 UTC    17.44114151     0.11514402    90.05290926
2021-01-08 00:59:59.000000 UTC    32.49160834     0.11515770    90.04350956
2021-01-08 01:59:59.000000 UTC    47.54008327     0.11517577    90.03610177
2021-01-08 02:59:59.000000 UTC    62.58607048     0.11519702    90.03118171
2021-01-08 03:59:59.000000 UTC    77.62924533     0.11522007    90.02907402
2021-01-08 04:59:59.000000 UTC    92.66947632     0.11524337    90.02991020
2021-01-08 05:59:59.000000 UTC   107.70683370     0.11526539    90.03361998
2021-01-08 06:59:59.000000 UTC   122.74158427     0.11528467    90.03993659
2021-01-08 07:59:59.000000 UTC   137.77417274     0.11529993    90.04841531
2021-01-08 08:59:59.000000 UTC   152.80519123     0.11531020    90.05846401
2021-01-08 09:59:59.000000 UTC   167.83533877     0.11531482    90.06938366
2021-01-08 10:59:59.000000 UTC  -177.13462619     0.11531352    90.08041582
2021-01-08 11:59:59.000000 UTC  -162.10393734     0.11530646    90.09079416
2021-01-08 12:59:59.000000 UTC  -147.07187249     0.11529416    90.09979651
2021-01-08 13:59:59.000000 UTC  -132.03780273     0.11527752    90.10679394
2021-01-08 14:59:59.000000 UTC  -117.00123536     0.11525775    90.11129375
2021-01-08 15:59:59.000000 UTC  -101.96184771     0.11523624    90.11297329
2021-01-08 16:59:59.000000 UTC   -86.91950966     0.11521453    90.11170241
2021-01-08 17:59:59.000000 UTC   -71.87429295     0.11519417    90.10755288
2021-01-08 18:59:59.000000 UTC   -56.82646683     0.11517661    90.10079393
2021-01-08 19:59:59.000000 UTC   -41.77647999     0.11516312    90.09187427
2021-01-08 20:59:59.000000 UTC   -26.72493008     0.11515469    90.08139152
2021-01-08 21:59:59.000000 UTC   -11.67252269     0.11515197    90.07005130
2021-01-08 22:59:59.000000 UTC     3.37997719     0.11515519    90.05861859
2021-01-08 23:59:59.000000 UTC    18.43179799     0.11516422    90.04786496
2021-01-09 00:59:59.000000 UTC    33.48221510     0.11517850    90.03851503
2021-01-09 01:59:59.000000 UTC    48.53059981     0.11519712    90.03119751
2021-01-09 02:59:59.000000 UTC    63.57646358     0.11521886    90.02640092
2021-01-09 03:59:59.000000 UTC    78.61949118     0.11524232    90.02444053
2021-01-09 04:59:59.000000 UTC    93.65956191     0.11526594    90.02543700
2021-01-09 05:59:59.000000 UTC   108.69675755     0.11528820    90.02930858
2021-01-09 06:59:59.000000 UTC   123.73135627     0.11530762    90.03577707
2021-01-09 07:59:59.000000 UTC   138.76381337     0.11532296    90.04438720
2021-01-09 08:59:59.000000 UTC   153.79472994     0.11533323    90.05453786
2021-01-09 09:59:59.000000 UTC   168.82481183     0.11533782    90.06552321
2021-01-09 10:59:59.000000 UTC  -176.14517836     0.11533646    90.07658063
2021-01-09 11:59:59.000000 UTC  -161.11447308     0.11532934    90.08694260
2021-01-09 12:59:59.000000 UTC  -146.08235198     0.11531702    90.09588873
2021-01-09 13:59:59.000000 UTC  -131.04819088     0.11530040    90.10279487
2021-01-09 14:59:59.000000 UTC  -116.01150450     0.11528070    90.10717571
2021-01-09 15:59:59.000000 UTC  -100.97197975     0.11525936    90.10871819
2021-01-09 16:59:59.000000 UTC   -85.92949762     0.11523790    90.10730328
2021-01-09 17:59:59.000000 UTC   -70.88414177     0.11521788    90.10301464
2021-01-09 18:59:59.000000 UTC   -55.83619331     0.11520075    90.09613340
2021-01-09 19:59:59.000000 UTC   -40.78611198     0.11518776    90.08711929
2021-01-09 20:59:59.000000 UTC   -25.73450483     0.11517990    90.07657934
2021-01-09 21:59:59.000000 UTC   -10.68208457     0.11517778    90.06522629
2021-01-09 22:59:59.000000 UTC     4.37037953     0.11518164    90.05382940
2021-01-09 23:59:59.000000 UTC    19.42211470     0.11519130    90.04316144
2021-01-10 00:59:59.000000 UTC    34.47239823     0.11520617    90.03394513
2021-01-10 01:59:59.000000 UTC    49.52060701     0.11522533    90.02680357
2021-01-10 02:59:59.000000 UTC    64.56626050     0.11524754    90.02221731
2021-01-10 03:59:59.000000 UTC    79.60905354     0.11527138    90.02049151
2021-01-10 04:59:59.000000 UTC    94.64887700     0.11529530    90.02173529
2021-01-10 05:59:59.000000 UTC   109.68582485     0.11531775    90.02585469
2021-01-10 06:59:59.000000 UTC   124.72018733     0.11533727    90.03255947
2021-01-10 07:59:59.000000 UTC   139.75243076     0.11535263    90.04138331
2021-01-10 08:59:59.000000 UTC   154.78316554     0.11536285    90.05171579
2021-01-10 09:59:59.000000 UTC   169.81310444     0.11536734    90.06284416
2021-01-10 10:59:59.000000 UTC  -175.15698583     0.11536586    90.07400171
2021-01-10 11:59:59.000000 UTC  -160.12633678     0.11535862    90.08441993
2021-01-10 12:59:59.000000 UTC  -145.09423027     0.11534620    90.09338068
2021-01-10 13:59:59.000000 UTC  -130.06004741     0.11532953    90.10026509
2021-01-10 14:59:59.000000 UTC  -115.02331088     0.11530985    90.10459582
2021-01-10 15:59:59.000000 UTC   -99.98371777     0.11528860    90.10606997
2021-01-10 16:59:59.000000 UTC   -84.94116069     0.11526733    90.10458014
2021-01-10 17:59:59.000000 UTC   -69.89573560     0.11524758    90.10022230
2021-01-10 18:59:59.000000 UTC   -54.84773576     0.11523081    90.09328970
2021-01-10 19:59:59.000000 UTC   -39.79763202     0.11521826    90.08425320
2021-01-10 20:59:59.000000 UTC   -24.74604068     0.11521089    90.07372910
2021-01-10 21:59:59.000000 UTC    -9.69368126     0.11520930    90.06243692
2021-01-10 22:59:59.000000 UTC     5.35867314     0.11521371    90.05114976
2021-01-10 23:59:59.000000 UTC    20.41024919     0.11522389    90.04064094
2021-01-11 00:59:59.000000 UTC    35.46032612     0.11523926    90.03163126
2021-01-11 01:59:59.000000 UTC    50.50828700     0.11525886    90.02473762
2021-01-11 02:59:59.000000 UTC    65.55366017     0.11528144    90.02043170
2021-01-11 03:59:59.000000 UTC    80.59615148     0.11530555    90.01900765
2021-01-11 04:59:59.000000 UTC    95.63566415     0.11532963    90.02056225
2021-01-11 05:59:59.000000 UTC   110.67230498     0.11535214    90.02498869
2021-01-11 06:59:59.000000 UTC   125.70637659     0.11537163    90.03198436
2021-01-11 07:59:59.000000 UTC   140.73835637     0.11538687    90.04107185
2021-01-11 08:59:59.000000 UTC   155.76886372     0.11539692    90.05163179
2021-01-11 09:59:59.000000 UTC   170.79861767     0.11540118    90.06294513
2021-01-11 10:59:59.000000 UTC  -174.17161194     0.11539946    90.07424203
2021-01-11 11:59:59.000000 UTC  -159.14105682     0.11539199    90.08475420
2021-01-11 12:59:59.000000 UTC  -144.10900235     0.11537936    90.09376700
2021-01-11 13:59:59.000000 UTC  -129.07483620     0.11536254    90.10066814
2021-01-11 14:59:59.000000 UTC  -114.03809021     0.11534278    90.10498943
2021-01-11 15:59:59.000000 UTC   -98.99847254     0.11532153    90.10643902
2021-01-11 16:59:59.000000 UTC   -83.95588796     0.11530034    90.10492171
2021-01-11 17:59:59.000000 UTC   -68.91044488     0.11528077    90.10054589
2021-01-11 18:59:59.000000 UTC   -53.86244835     0.11526425    90.09361662
2021-01-11 19:59:59.000000 UTC   -38.81237947     0.11525202    90.08461498
2021-01-11 20:59:59.000000 UTC   -23.76086259     0.11524502    90.07416535
2021-01-11 21:59:59.000000 UTC    -8.70862243     0.11524383    90.06299245
2021-01-11 22:59:59.000000 UTC     6.34356588     0.11524862    90.05187138
2021-01-11 23:59:59.000000 UTC    21.39493032     0.11525918    90.04157419
2021-01-12 00:59:59.000000 UTC    36.44475560     0.11527486    90.03281616
2021-01-12 01:59:59.000000 UTC    51.49243205     0.11529471    90.02620698
2021-01-12 02:59:59.000000 UTC    66.53749716     0.11531745    90.02220913
2021-01-12 03:59:59.000000 UTC    81.57966746     0.11534164    90.02110611
2021-01-12 04:59:59.000000 UTC    96.61885755     0.11536571    90.02298329
2021-01-12 05:59:59.000000 UTC   111.65518557     0.11538811    90.02772255
2021-01-12 06:59:59.000000 UTC   126.68896466     0.11540741    90.03501075
2021-01-12 07:59:59.000000 UTC   141.72068124     0.11542238    90.04436146
2021-01-12 08:59:59.000000 UTC   156.75096166     0.11543211    90.05514834
2021-01-12 09:59:59.000000 UTC   171.78052945     0.11543602    90.06664784
2021-01-12 10:59:59.000000 UTC  -173.18984378     0.11543394    90.07808837
2021-01-12 11:59:59.000000 UTC  -158.15939078     0.11542611    90.08870267
2021-01-12 12:59:59.000000 UTC  -143.12740068     0.11541316    90.09777986
2021-01-12 13:59:59.000000 UTC  -128.09326735     0.11539607    90.10471382
2021-01-12 14:59:59.000000 UTC  -113.05653080     0.11537610    90.10904455
2021-01-12 15:59:59.000000 UTC   -98.01690882     0.11535471    90.11048985
2021-01-12 16:59:59.000000 UTC   -82.97431665     0.11533346    90.10896495
