Frame Transformation Calculation


Calculation Inputs

Calculation type       = Frame Transformation (from Frame 1 to Frame 2)
Frame 1                = j2000
Frame 2                = ITRF93
Time system            = UTC
Time format            = Calendar date and time
Time range             = jan 1 2016 00:00:00 to Jan 1 2021 00:00:00
Step                   = 1 hours
Light propagation      = No correction
Orientation form       = Euler angles
Rotation order         = R = [Angle3]z * [Angle2]x * [Angle1]z
Angular units          = Degrees
Angular velocity form  = Not included
Angular velocity units = Degrees/second


Frame Transformation Results

UTC calendar date               Angle 3 (deg)  Angle 2 (deg)  Angle 1 (deg)
2016-01-03 17:00:00.000000 UTC   -90.64239757     0.08901927    88.19810413
2016-01-03 18:00:00.000000 UTC   -75.59782796     0.08900181    88.19460135
2016-01-03 19:00:00.000000 UTC   -60.55036521     0.08898632    88.18820544
2016-01-03 20:00:00.000000 UTC   -45.50043738     0.08897392    88.17934444
2016-01-03 21:00:00.000000 UTC   -30.44864198     0.08896549    88.16861587
2016-01-03 22:00:00.000000 UTC   -15.39570521     0.08896165    88.15674592
2016-01-03 23:00:00.000000 UTC    -0.34243208     0.08896270    88.14453962
2016-01-04 00:00:00.000000 UTC    14.71034912     0.08896860    88.13282525
2016-01-04 01:00:00.000000 UTC    29.76184420     0.08897900    88.12239700
2016-01-04 02:00:00.000000 UTC    44.81134773     0.08899321    88.11396030
2016-01-04 03:00:00.000000 UTC    59.85829102     0.08901032    88.10808385
2016-01-04 04:00:00.000000 UTC    74.90228103     0.08902918    88.10516067
2016-01-04 05:00:00.000000 UTC    89.94312746     0.08904856    88.10538108
2016-01-04 06:00:00.000000 UTC   104.98085503     0.08906716    88.10872037
2016-01-04 07:00:00.000000 UTC   120.01570154     0.08908375    88.11494070
2016-01-04 08:00:00.000000 UTC   135.04810122     0.08909725    88.12360788
2016-01-04 09:00:00.000000 UTC   150.07865479     0.08910677    88.13412116
2016-01-04 10:00:00.000000 UTC   165.10808863     0.08911170    88.14575419
2016-01-04 11:00:00.000000 UTC  -179.86279472     0.08911175    88.15770439
2016-01-04 12:00:00.000000 UTC  -164.83317069     0.08910696    88.16914721
2016-01-04 13:00:00.000000 UTC  -149.80224882     0.08909768    88.17929220
2016-01-04 14:00:00.000000 UTC  -134.76932621     0.08908461    88.18743645
2016-01-04 15:00:00.000000 UTC  -119.73383534     0.08906867    88.19301243
2016-01-04 16:00:00.000000 UTC  -104.69538313     0.08905099    88.19562707
2016-01-04 17:00:00.000000 UTC   -89.65377812     0.08903283    88.19508890
2016-01-04 18:00:00.000000 UTC   -74.60904400     0.08901547    88.19142163
2016-01-04 19:00:00.000000 UTC   -59.56141873     0.08900015    88.18486320
2016-01-04 20:00:00.000000 UTC   -44.51133887     0.08898797    88.17585017
2016-01-04 21:00:00.000000 UTC   -29.45940993     0.08897980    88.16498806
2016-01-04 22:00:00.000000 UTC   -14.40636492     0.08897626    88.15300988
2016-01-04 23:00:00.000000 UTC     0.64698578     0.08897764    88.14072602
2016-01-05 00:00:00.000000 UTC    15.69980996     0.08898389    88.12896866
2016-01-05 01:00:00.000000 UTC    30.75131144     0.08899464    88.11853402
2016-01-05 02:00:00.000000 UTC    45.80078547     0.08900920    88.11012683
2016-01-05 03:00:00.000000 UTC    60.84766691     0.08902662    88.10431223
2016-01-05 04:00:00.000000 UTC    75.89156821     0.08904577    88.10147777
2016-01-05 05:00:00.000000 UTC    90.93230610     0.08906538    88.10180673
2016-01-05 06:00:00.000000 UTC   105.96991374     0.08908416    88.10526594
2016-01-05 07:00:00.000000 UTC   121.00463792     0.08910089    88.11160862
2016-01-05 08:00:00.000000 UTC   136.03692186     0.08911446    88.12039154
