3.09	-2.90464
3.1	-2.89531
3.11	-2.88597
3.12	-2.87663
3.13	-2.8673
3.14	-2.85796
3.15	-2.84862
3.16	-2.83929
3.17	-2.82995
3.18	-2.82061
3.19	-2.81128
3.2	-2.80195
3.21	-2.79262
3.22	-2.7833
3.23	-2.77398
3.24	-2.76466
3.25	-2.75535
3.26	-2.74604
3.27	-2.73674
3.28	-2.72745
3.29	-2.71816
3.3	-2.70888
3.31	-2.69961
3.32	-2.69034
3.33	-2.68109
3.34	-2.67184
3.35	-2.6626
3.36	-2.65337
3.37	-2.64415
3.38	-2.63495
3.39	-2.62575
3.4	-2.61657
3.41	-2.60739
3.42	-2.59823
3.43	-2.58908
3.44	-2.57995
3.45	-2.57083
3.46	-2.56172
3.47	-2.55263
3.48	-2.54355
3.49	-2.53448
3.5	-2.52543
3.51	-2.5164
3.52	-2.50738
3.53	-2.49838
3.54	-2.48939
3.55	-2.48042
3.56	-2.47147
3.57	-2.46254
3.58	-2.45362
3.59	-2.44472
3.6	-2.43584
3.61	-2.42697
3.62	-2.41813
3.63	-2.4093
3.64	-2.40049
3.65	-2.3917
3.66	-2.38293
3.67	-2.37418
3.68	-2.36545
3.69	-2.35674
3.7	-2.34805
3.71	-2.33938
3.72	-2.33072
3.73	-2.32209
3.74	-2.31348
3.75	-2.30489
3.76	-2.29632
3.77	-2.28777
3.78	-2.27924
3.79	-2.27073
3.8	-2.26225
3.81	-2.25378
3.82	-2.24533
3.83	-2.23691
3.84	-2.2285
3.85	-2.22012
3.86	-2.21176
3.87	-2.20342
3.88	-2.1951
3.89	-2.1868
3.9	-2.17852
3.91	-2.17026
3.92	-2.16202
3.93	-2.1538
3.94	-2.14561
3.95	-2.13743
3.96	-2.12928
3.97	-2.12114
3.98	-2.11302
3.99	-2.10493
4	-2.09685
4.01	-2.0888
4.02	-2.08076
4.03	-2.07275
4.04	-2.06475
4.05	-2.05677
4.06	-2.04882
4.07	-2.04088
4.08	-2.03296
4.09	-2.02506
4.1	-2.01717
4.11	-2.00931
4.12	-2.00146
4.13	-1.99363
4.14	-1.98582
4.15	-1.97803
4.16	-1.97025
4.17	-1.96249
4.18	-1.95475
4.19	-1.94702
4.2	-1.93931
4.21	-1.93162
4.22	-1.92394
4.23	-1.91627
4.24	-1.90863
4.25	-1.90099
4.26	-1.89337
4.27	-1.88577
4.28	-1.87818
4.29	-1.8706
4.3	-1.86304
4.31	-1.85549
4.32	-1.84796
4.33	-1.84043
4.34	-1.83292
4.35	-1.82542
4.36	-1.81793
4.37	-1.81045
4.38	-1.80299
4.39	-1.79553
4.4	-1.78809
4.41	-1.78065
4.42	-1.77322
4.43	-1.76581
4.44	-1.7584
4.45	-1.751
4.46	-1.7436
4.47	-1.73622
4.48	-1.72884
4.49	-1.72147
4.5	-1.7141
4.51	-1.70675
4.52	-1.69939
4.53	-1.69204
4.54	-1.6847
4.55	-1.67736
4.56	-1.67002
4.57	-1.66269
4.58	-1.65536
4.59	-1.64804
4.6	-1.64071
4.61	-1.63339
4.62	-1.62606
4.63	-1.61874
4.64	-1.61142
4.65	-1.6041
4.66	-1.59677
4.67	-1.58945
4.68	-1.58212
4.69	-1.57479
4.7	-1.56746
4.71	-1.56012
4.72	-1.55279
4.73	-1.54544
4.74	-1.53809
4.75	-1.53074
4.76	-1.52337
4.77	-1.51601
4.78	-1.50863
4.79	-1.50125
4.8	-1.49385
4.81	-1.48645
4.82	-1.47904
4.83	-1.47162
4.84	-1.46419
4.85	-1.45674
4.86	-1.44928
4.87	-1.44181
4.88	-1.43433
4.89	-1.42683
4.9	-1.41932
4.91	-1.41179
4.92	-1.40424
4.93	-1.39668
4.94	-1.3891
4.95	-1.3815
4.96	-1.37388
4.97	-1.36624
4.98	-1.35858
4.99	-1.35089
5	-1.34319
5.01	-1.33546
5.02	-1.32771
5.03	-1.31993
5.04	-1.31213
5.05	-1.3043
5.06	-1.29644
5.07	-1.28855
5.08	-1.28063
5.09	-1.27269
5.1	-1.26471
5.11	-1.2567
5.12	-1.24865
5.13	-1.24057
5.14	-1.23246
5.15	-1.22431
5.16	-1.21612
5.17	-1.20789
5.18	-1.19963
5.19	-1.19132
5.2	-1.18297
5.21	-1.17458
5.22	-1.16614
5.23	-1.15766
5.24	-1.14913
5.25	-1.14056
5.26	-1.13193
5.27	-1.12326
5.28	-1.11453
5.29	-1.10575
5.3	-1.09692
5.31	-1.08803
5.32	-1.07908
5.33	-1.07007
5.34	-1.06101
5.35	-1.05188
5.36	-1.04269
5.37	-1.03344
5.38	-1.02412
5.39	-1.01473
5.4	-1.00528
5.41	-0.995751
5.42	-0.986153
5.43	-0.97648
5.44	-0.966732
5.45	-0.956907
5.46	-0.947002
5.47	-0.937017
5.48	-0.926949
5.49	-0.916797
5.5	-0.906558
5.51	-0.896232
5.52	-0.885815
5.53	-0.875307
5.54	-0.864704
5.55	-0.854006
5.56	-0.84321
5.57	-0.832314
5.58	-0.821317
5.59	-0.810216
5.6	-0.799009
5.61	-0.787694
5.62	-0.776269
5.63	-0.764732
5.64	-0.753081
5.65	-0.741313
5.66	-0.729428
5.67	-0.717422
5.68	-0.705293
5.69	-0.69304
5.7	-0.68066
5.71	-0.668152
5.72	-0.655512
5.73	-0.64274
5.74	-0.629833
5.75	-0.61679
5.76	-0.603608
5.77	-0.590285
5.78	-0.57682
5.79	-0.56321
5.8	-0.549455
5.81	-0.535553
5.82	-0.521501
5.83	-0.507299
5.84	-0.492945
5.85	-0.478437
5.86	-0.463775
5.87	-0.448958
5.88	-0.433984
5.89	-0.418853
5.9	-0.403564
5.91	-0.388117
5.92	-0.372511
5.93	-0.356746
5.94	-0.340822
5.95	-0.32474
5.96	-0.308499
5.97	-0.292101
5.98	-0.275546
5.99	-0.258835
6	-0.24197
6.01	-0.224953
6.02	-0.207784
6.03	-0.190467
6.04	-0.173003
6.05	-0.155396
6.06	-0.137648
6.07	-0.119762
6.08	-0.101743
6.09	-0.083593
6.1	-0.0653173
6.11	-0.04692
6.12	-0.0284058
6.13	-0.00977955
6.14	0.00895336
6.15	0.0277874
6.16	0.0467169
6.17	0.0657356
6.18	0.0848374
6.19	0.104016
6.2	0.123264
6.21	0.142575
6.22	0.161941
6.23	0.181356
6.24	0.200812
6.25	0.220301
6.26	0.239817
6.27	0.25935
6.28	0.278894
